User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1000545,Aditya Yadav,5805,M,18-25,22,Unmarried,Maharashtra,West,Govt,Clothing,2,21959,Pending,362
1003759,Suman Mishra,8611,F,18-25,20,Married,Andhra Pradesh,East,Healthcare,Home,7,32539,Pending,732
1004167,Anita Mishra,6349,F,46-55,46,Married,Uttar Pradesh,North,Student,Home,7,38458,Pending,212
1004402,Amit Chopra,1267,M,36-45,41,Married,Karnataka,North,IT,Clothing,5,33469,Cancelled,784
1001439,Kavya Iyer,4667,F,26-35,30,Married,Gujarat,South,IT,Sports,5,12015,Delivered,911
1000831,Karan Nair,3710,M,18-25,24,Married,Himachal Pradesh,North,Healthcare,Home,9,37159,Cancelled,497
1006417,Riya Mishra,7071,F,36-45,45,Unmarried,Uttar Pradesh,North,Business,Clothing,7,46624,Returned,470
1002895,Rahul Reddy,7689,M,46-55,46,Married,Maharashtra,West,IT,Sports,7,35088,Returned,714
1002675,Amit Kapoor,4932,M,18-25,25,Unmarried,Uttar Pradesh,North,IT,Grocery,3,19398,Delivered,916
1001467,Mohit Mishra,5318,M,36-45,41,Unmarried,Andhra Pradesh,Central,IT,Home,4,26159,Pending,286
1006767,Pooja Patel,5486,F,46-55,47,Married,Delhi,West,Business,Grocery,3,17341,Returned,349
1002772,Rahul Iyer,1100,M,36-45,37,Married,Andhra Pradesh,West,Business,Grocery,9,31039,Pending,538
1004996,Vikas Mehta,5008,M,46-55,53,Married,Andhra Pradesh,Central,Healthcare,Home,1,24522,Delivered,411
1005313,Vikas Mishra,3277,M,26-35,35,Married,Andhra Pradesh,North,Govt,Sports,6,40658,Cancelled,738
1006370,Raj Kapoor,8755,M,26-35,34,Unmarried,Madhya Pradesh,West,Healthcare,Clothing,9,36395,Returned,478
1006563,Rahul Iyer,5878,M,55+,56,Married,Andhra Pradesh,North,Business,Sports,6,5288,Pending,301
1001702,Riya Mishra,3125,F,26-35,30,Married,Andhra Pradesh,Central,Education,Electronics,2,18871,Delivered,530
1004333,Aarav Nair,9780,M,26-35,27,Unmarried,Andhra Pradesh,South,Healthcare,Sports,8,43675,Delivered,314
1003910,Riya Reddy,8111,F,46-55,50,Unmarried,Uttar Pradesh,South,IT,Home,8,33208,Pending,340
1003538,Rohan Reddy,1395,M,18-25,23,Unmarried,Uttar Pradesh,West,Education,Sports,9,24206,Pending,250
1003028,Riya Khanna,3866,F,18-25,21,Married,Andhra Pradesh,Central,Business,Grocery,6,36732,Pending,193
1005054,Riya Nair,1963,F,46-55,51,Unmarried,Uttar Pradesh,South,Business,Electronics,1,28858,Delivered,810
1003435,Suman Iyer,7583,F,26-35,33,Unmarried,Andhra Pradesh,South,Business,Sports,7,36473,Cancelled,133
1003518,Raj Iyer,4268,M,26-35,32,Married,Uttar Pradesh,Central,Education,Home,9,14356,Returned,420
1003983,Riya Agarwal,6930,F,46-55,54,Married,Karnataka,South,Business,Clothing,5,13454,Delivered,301
1006646,Nitin Malhotra,9544,M,26-35,26,Unmarried,Andhra Pradesh,South,Education,Clothing,2,28730,Returned,104
1003594,Rohan Khanna,3957,M,26-35,27,Married,Uttar Pradesh,West,Business,Electronics,6,17822,Pending,764
1000402,Aditya Bansal,9053,M,18-25,23,Married,Andhra Pradesh,North,Education,Electronics,6,10301,Delivered,265
1005954,Vikas Kumar,2487,M,46-55,53,Married,Andhra Pradesh,East,Education,Home,9,13499,Returned,764
1000400,Aditya Mishra,8898,M,18-25,25,Unmarried,Andhra Pradesh,East,Education,Grocery,7,37014,Returned,120
1003023,Anita Chopra,9791,F,18-25,20,Married,Andhra Pradesh,East,Healthcare,Grocery,7,34715,Cancelled,365
1005721,Rahul Chopra,3275,M,36-45,42,Unmarried,Andhra Pradesh,South,Student,Clothing,8,9153,Returned,937
1001555,Karan Gupta,4692,M,55+,59,Married,Andhra Pradesh,North,Education,Grocery,5,10470,Pending,212
1006306,Vivaan Mehta,8663,M,18-25,25,Unmarried,Maharashtra,South,Student,Clothing,5,7688,Returned,211
1005200,Pooja Agarwal,4072,F,26-35,34,Unmarried,Andhra Pradesh,Central,Business,Sports,4,29076,Pending,734
1002282,Karan Chopra,6543,M,26-35,26,Unmarried,Jharkhand,South,Healthcare,Home,6,7301,Pending,475
1004018,Rahul Mishra,8925,M,26-35,32,Unmarried,Delhi,East,Business,Grocery,3,28262,Pending,379
1004966,Neha Iyer,2322,F,46-55,52,Unmarried,Andhra Pradesh,North,Healthcare,Sports,6,3619,Cancelled,252
1000409,Aditya Joshi,2284,M,46-55,49,Unmarried,Himachal Pradesh,West,Education,Electronics,7,18829,Pending,143
1005728,Mohit Mishra,8129,M,55+,58,Married,Andhra Pradesh,South,Business,Sports,5,30823,Delivered,560
1006551,Rohan Das,3824,M,26-35,26,Unmarried,Kerala,South,Education,Grocery,1,8036,Pending,347
1003254,Priya Kapoor,1058,F,46-55,55,Married,Uttar Pradesh,West,Education,Home,8,9224,Cancelled,616
1002771,Nitin Agarwal,6348,M,36-45,39,Married,Andhra Pradesh,East,Education,Home,1,25882,Pending,597
1004781,Pooja Mehta,8963,F,18-25,25,Married,Andhra Pradesh,Central,Student,Sports,8,8306,Pending,506
1002669,Nitin Malhotra,4859,M,36-45,44,Unmarried,Andhra Pradesh,South,Education,Clothing,8,46601,Delivered,690
1005191,Neha Kapoor,7781,F,46-55,51,Married,Andhra Pradesh,North,Student,Clothing,8,20971,Returned,513
1005690,Raj Gupta,1804,M,36-45,40,Unmarried,Andhra Pradesh,West,Education,Electronics,5,27370,Delivered,412
1004297,Karan Kumar,9404,M,36-45,44,Married,Delhi,West,Business,Grocery,4,16289,Delivered,838
1004308,Raj Khanna,7599,M,55+,59,Unmarried,Andhra Pradesh,East,Healthcare,Sports,6,29105,Returned,768
1002790,Deepak Singh,6136,M,26-35,27,Unmarried,Andhra Pradesh,East,Business,Sports,7,13883,Returned,284
1004478,Priya Verma,4544,F,46-55,46,Unmarried,Andhra Pradesh,East,Business,Electronics,2,22285,Pending,846
1006564,Nitin Mishra,2276,M,36-45,44,Married,Haryana,East,Govt,Clothing,6,16771,Pending,787
1000699,Neha Verma,9206,F,46-55,46,Unmarried,Delhi,Central,Student,Electronics,2,23103,Delivered,599
1004718,Amit Joshi,5978,M,46-55,48,Unmarried,Delhi,East,Healthcare,Clothing,4,28143,Returned,811
1001216,Vivaan Mishra,1658,M,36-45,40,Married,Delhi,South,Healthcare,Sports,6,39932,Delivered,418
1004407,Kavya Chopra,5375,F,46-55,47,Married,Karnataka,North,Business,Home,2,47556,Cancelled,905
1004209,Vikas Singh,8482,M,46-55,55,Unmarried,Delhi,Central,Student,Sports,7,41094,Cancelled,832
1003291,Amit Chopra,4407,M,26-35,35,Unmarried,Delhi,West,Business,Clothing,2,47873,Delivered,185
1003593,Suresh Agarwal,4152,M,46-55,47,Married,Delhi,North,Healthcare,Clothing,2,44308,Returned,875
1004988,Rahul Kapoor,5734,M,46-55,55,Married,Delhi,East,IT,Home,6,41163,Delivered,783
1004056,Rahul Mishra,9091,M,26-35,29,Married,Maharashtra,South,Govt,Electronics,1,27038,Pending,278
1003085,Vivaan Patel,2965,M,36-45,39,Unmarried,Delhi,North,Business,Electronics,4,12747,Pending,805
1005922,Pooja Reddy,2805,F,46-55,53,Unmarried,Maharashtra,Central,Student,Home,7,37370,Pending,265
1001894,Deepak Patel,1914,M,46-55,46,Unmarried,Delhi,West,IT,Clothing,8,15148,Delivered,280
1002679,Nitin Mehta,4057,M,26-35,27,Married,Delhi,Central,Govt,Grocery,9,30108,Cancelled,620
1006417,Riya Chopra,4258,F,36-45,38,Unmarried,Delhi,East,Govt,Sports,3,34276,Returned,588
1002447,Deepak Verma,5201,M,36-45,41,Unmarried,Delhi,North,Student,Clothing,7,33774,Pending,940
1001569,Neha Joshi,1829,F,36-45,43,Unmarried,Delhi,Central,Healthcare,Grocery,8,27633,Cancelled,350
1005053,Nitin Iyer,7068,M,26-35,28,Married,Kerala,East,Govt,Clothing,5,21190,Pending,770
1005128,Amit Gupta,7830,M,36-45,44,Married,Delhi,East,Student,Home,1,42672,Delivered,656
1005159,Suman Bansal,9877,F,46-55,53,Married,Andhra Pradesh,Central,Student,Grocery,3,23585,Delivered,454
1006759,Amit Joshi,9228,M,26-35,34,Married,Karnataka,East,Education,Electronics,2,38035,Pending,334
1005422,Rohan Mishra,4835,M,26-35,29,Married,Delhi,South,Education,Sports,1,1189,Returned,808
1000495,Suresh Khanna,3401,M,36-45,40,Married,Madhya Pradesh,South,Business,Home,5,27378,Cancelled,355
